Name of Restaurent ,Type of Cusine,Rating,Total No of Ratings,Cost,Landmark,Opening time,Current Status,Dine in availability,Takeaway type,Delivery availability,Location and Address,Description of the Restaurent,Restaurent Name,Rating,number-of-reviews,veg /Non- Veg
Nero waffles,Brunch,4.5,"1,144",Average Cost,,2PM,Closed,,,,"Vancouver, BC, Canada","Hip, busy waffle specialist serving LiŠge- & Brussels-style treats with ice cream & other toppings.",Nero waffles,4.5,(1144),Non-Veg
The Lobby Lounge and RawBar,Restaurant,4.4,163,,"Vancouver, BC, Canada ú In the Fairmont Pacific Rim",8:30AM,Closed,,,,,"Polished spot at the Fairmont Pacific Rim with a raw bar, refined cocktails, seafood & live music.",The Lobby Lounge and RawBar,4.4,(163),Non-Veg
CRAFT Beer Market Vancouver,Restaurant,4.4,"5,716",Average Cost,,11AM,Closed,Dine-in,Curbside pickup,Delivery,"Vancouver, BC, Canada","Stylish, modern outpost serving many draft brews & local, seasonal pub grub in an airy interior.",CRAFT Beer Market Vancouver,4.4,(5716),Non-Veg
Showcase Restaurant & Bar,Restaurant,4.2,231,Expensive,,6:30AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada","An airy setting for Pacific Northwest dining & sustainable seafood, open breakfast through dinner.",Showcase Restaurant & Bar,4.2,(231),Non-Veg
Elisa,Takeout restaurant,4.6,664,Too Expensive,,4:30PM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada","Contemporary steakhouse offering modern takes on meats plus seafood, sides, wines & cocktails.",Elisa,4.6,(664),Non-Veg
Hungry Guys Kitchen,Burritos,4.6,479,Not Expensive,,11AM,Closed,,,,"Vancouver, BC, Canada","Modern counter-serve with health-conscious burritos & bowls, with organic tofu & brown rice options.",Hungry Guys Kitchen,4.6,(479),Non-Veg
India Bistro,Indian,3.9,426,Average Cost,,1PM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada","Large choice of Indian dishes (with vegan options) in a warm, brick dining room, plus lunch buffet.",India Bistro,3.9,(426),Non-Veg
Black+Blue,Steak,4.2,"2,309",Too Expensive,,11:30AM,Closed,Dine-in,Curbside pickup,No-contact delivery,"Vancouver, BC, Canada ú Near the Vancouver Art Gallery","Bustling 3-level steakhouse with luxe decor, rare cuts of beef & a custom meat locker for dry-aging.",Black+Blue,4.2,(2309),Non-Veg
Aleph Eatery,Middle Eastern,4.7,309,Average Cost,,5:30PM,Closed,,,,"Vancouver, BC, Canada",,Aleph Eatery,4.7,(309),Non-Veg
Fets Whisky Kitchen,Grill,4.4,867,Average Cost,,10AM,Closed,,,,"Vancouver, BC, Canada","Quirky, mural-lined whisky bar with patio seating & a menu of Southern favorites like fried chicken.",Fets Whisky Kitchen,4.4,(867),Non-Veg
Dosa Corner,Indian,4.4,789,Not Expensive,,11:30AM,Closed,,,,"Vancouver, BC, Canada","Informal Indian restaurant serving 30+ types of dosas, plus uttapams & Southern-style curries.",Dosa Corner,4.4,(789),Non-Veg
La Taqueria Pinche Taco Shop,Restaurant,4.4,"1,452",Not Expensive,,12PM,Closed,Dine-in,Curbside pickup,Delivery,"Vancouver, BC, Canada","Mexican tacos & quesadillas based on street stand fare & made with local, sustainable ingredients.",La Taqueria Pinche Taco Shop,4.4,(1452),Non-Veg
Pholicious,Pho,4.6,419,Not Expensive,,10:30AM,Closed,,,,"Vancouver, BC, Canada",Pho & other classic Vietnamese fare is offered with coffee & smoothies in a casual storefront space.,Pholicious,4.6,(419),Non-Veg
Homer St. Cafe and Bar,Restaurant,4.4,900,Expensive,,11:30AM,Closed,,,,"Vancouver, BC, Canada","Vintage-chic haunt dishing upmarket rotisserie chicken & meats, plus cocktails, in a landmark space.",Homer St. Cafe and Bar,4.4,(900),Non-Veg
Robba da Matti,Italian,4.3,492,Average Cost,,11:30AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada","Cozy Italian trattoria with a warm vibe & outdoor seating, plus homemade pasta mains & a tapas menu.",Robba da Matti,4.3,(492),Non-Veg
La Cantina Tacos,Mexican,4.5,451,Not Expensive,,11:30AM,Closed,Dine-in,Takeaway,,"Vancouver, BC, Canada","Airy, graphics-forward eatery offering Mexican fare like tacos & burritos plus beers & margaritas.",La Cantina Tacos,4.5,(451),Non-Veg
The Shameful Tiki Room,Polynesian restaurant,4.5,"1,164",Average Cost,,5PM,Closed,,,,"Vancouver, BC, Canada","Cool restaurant with a tropical vibe offering Polynesian eats, exotic cocktails & live music.",The Shameful Tiki Room,4.5,(1164),Non-Veg
Madras Spice Restaurant,Indian,4.2,642,Not Expensive,,11AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada",Low-key eatery offering familiar Indian dishes & vegetarian fare plus dosas in a modest setup.,Madras Spice Restaurant,4.2,(642),Non-Veg
Davie Dosa Company,Indian,4.4,605,Average Cost,,10:30AM,Closed,Dine-in,Curbside pickup,Delivery,"Vancouver, BC, Canada","Dosas, curries & other Indian classics offered in an easygoing environment with a full bar.",Davie Dosa Company,4.4,(605),Non-Veg
Cora Breakfast and Lunch,Breakfast,4.3,"1,416",Average Cost,,6AM,Closed,Dine-in,Takeaway,No-contact delivery,"Vancouver, BC, Canada",,Cora Breakfast and Lunch,4.3,(1416),Non-Veg
Local Gastown,Restaurant,4.3,"1,011",Average Cost,,11AM,Closed,Dine-in,Curbside pickup,No-contact delivery,"Vancouver, BC, Canada",Choice pub food & craft brews are the specialities at this bustling haunt with a casual atmosphere.,Local Gastown,4.3,(1011),Non-Veg
Fable Diner at Main & Broadway,Restaurant,4.3,"1,448",Average Cost,,9AM,Closed,Dine-in,Curbside pickup,Delivery,"Vancouver, BC, Canada ú In Lee Bldg","Light, contemporary diner offering breakfast, brunch, lunch & dinner made from local ingredients.",Fable Diner at Main & Broadway,4.3,(1448),Non-Veg
Mott 32 Vancouver,Chinese,4.0,383,Too Expensive,,5PM,Closed,,,,"Vancouver, BC, Canada","High-end restaurant featuring innovative Chinese dishes & craft cocktails in an airy, modern space.",Mott 32 Vancouver,4.0,(383),Non-Veg
Tasty Indian Bistro | Yaletown,Indian,4.4,788,Average Cost,,11:30AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada","Warm, modern eatery offering Indian dishes & tandoori fare plus patio seating & craft cocktails.",Tasty Indian Bistro | Yaletown,4.4,(788),Non-Veg
Tap & Barrel ? Convention Centre,Restaurant,4.2,"1,163",Average Cost,,11AM,Closed,Dine-in,Takeaway,No-contact delivery,"Vancouver, BC, Canada ú In Burrard Landing","Contemporary pub offering Pacific Northwest fare, craft brews & a sprawling patio with scenic views.",Tap & Barrel ? Convention Centre,4.2,(1163),Non-Veg
The Victor,Steak,4.0,503,Too Expensive,,5PM,Closed,,,,"Vancouver, BC, Canada ú In Parq Vancouver","Fashionable, sixth-floor locale for choice steaks, Pacific Northwest seafood & city skyline views.",The Victor,4.0,(503),Non-Veg
Zefferelli's,Italian,4.3,748,Average Cost,,11:30AM,Closed,,,,"Vancouver, BC, Canada",Comfortable site featuring classic Italian pasta dishes & entrees such as chicken marsala.,Zefferelli's,4.3,(748),Non-Veg
Earls Kitchen + Bar,Restaurant,4.2,"1,303",Average Cost,,11AM,Closed,,,,"Vancouver, BC, Canada","Sleek, upscale chain serving gourmet burgers, global comfort food, cocktails, wines & beers.",Earls Kitchen + Bar,4.2,(1303),Non-Veg
Provence Marinaside,Restaurant,4.3,"1,075",Expensive,,10AM,Closed,,,,"Vancouver, BC, Canada","Waterfront spot with a patio, offering seafood dishes prepared with French style & a popular brunch.",Provence Marinaside,4.3,(1075),Non-Veg
Gyu-Kaku Japanese BBQ,Japanese,4.5,"2,165",Average Cost,,11:30AM,Closed,Dine-in,Takeaway,No-contact delivery,888 Nelson St g3,,Gyu-Kaku Japanese BBQ,4.5,(2165),Non-Veg
Crave India Restaurant,Indian,4.2,425,Not Expensive,,11AM,Closed,,,,1019 Granville St,,Crave India Restaurant,4.2,(425),Non-Veg
La Belle Patate Vancouver,Qu‚b‚cois restaurant,4.5,"1,175",Not Expensive,,11AM,Closed,,,,1215 Davie St,Quick-serve Canadian eatery stays open late serving unique poutines plus smoked meat & hot dogs.,La Belle Patate Vancouver,4.5,(1175),Non-Veg
Siddhartha's Indian Kitchen,Indian,4.2,521,Average Cost,,11:30AM,Closed,Dine-in,Takeaway,Delivery,2066 Commercial Dr,"Sleek restaurant offering Indian fare, including vegetarian options, plus a bar.",Siddhartha's Indian Kitchen,4.2,(521),Non-Veg
Zocalo Modern Cantina,Pan-Latin restaurant,4.7,81,,646 Kingsway,6PM,Closed,,,,,,Zocalo Modern Cantina,4.7,(81),Non-Veg
Chewies Steam & Oyster Bar - Coal Harbour,Oyster Bar,4.2,977,Average Cost,,11:30AM,Closed,,,,1055 W Hastings St ú In Guinness Business Center,Oyster specialist serving New Orleans?inspired Cajun & Creole fare in an upbeat locale with a patio.,Chewies Steam & Oyster Bar - Coal Harbour,4.2,(977),Non-Veg
De Dutch,Brunch,4.0,566,Average Cost,,8AM,Closed,Dine-in,Takeaway,,1055 Canada Pl #60 ú In Burrard Landing,,De Dutch,4.0,(566),Non-Veg
SMAK Healthy Fast Food,Fast Food,4.4,310,,545 Granville St ú In the Pacific Centre,6:30AM,Closed,,,,,"Buzzy counter-serve cafe featuring health-conscious, locally sourced fare that is also gluten free.",SMAK Healthy Fast Food,4.4,(310),Non-Veg
Moltaqa Moroccan Restaurant,Restaurant,4.4,460,,51 W Hastings St,5PM,Closed,Dine-in,Curbside pickup,Delivery,,A traditional menu of Moroccan fare with a semi-circle bar counter & patterned textile decor.,Moltaqa Moroccan Restaurant,4.4,(460),Non-Veg
Sprezzatura Restaurant,Italian,4.4,173,Average Cost,,12PM,Closed,Dine-in,Takeaway,,265 Kingsway,,Sprezzatura Restaurant,4.4,(173),Non-Veg
House Of Dosas,Indian,4.2,"1,948",Not Expensive,,11AM,Closed,,,,1391 Kingsway,South Indian cuisine specialist serving crisp rolled crˆpes with spicy fillings plus other dishes.,House Of Dosas,4.2,(1948),Non-Veg
Gyu-Kaku Japanese BBQ,Yakiniku,4.5,"1,286",Average Cost,,11:30AM,Closed,Dine-in,Takeaway,No-contact delivery,950 W Broadway #201,,Gyu-Kaku Japanese BBQ,4.5,(1286),Non-Veg
Fat Mao Noodles,Noodle Shop,4.5,565,Average Cost,,11:30AM,Closed,Dine-in,Takeaway,,217 E Georgia St,"Cool noodle parlor serving bowls of comfort food from Thailand, Malaysia, China, plus microbrews.",Fat Mao Noodles,4.5,(565),Non-Veg
Mosaic Grille & Bar,Grill,4.1,147,Average Cost,,,Temporarily closed,,,,655 Burrard St ú In the Hyatt Regency Vancouver,"Sleek, modern outfit at the Hyatt Regency Vancouver specializing in farm-to-table meals.",Mosaic Grille & Bar,4.1,(147),Non-Veg
Wildtale Yaletown,Seafood,4.2,872,Average Cost,,3PM,Closed,,,,1079 Mainland St,"Warm, relaxed eatery featuring refined seafood, grilled meats, a patio & a full bar with cocktails.",Wildtale Yaletown,4.2,(872),Non-Veg
Harambe Ethiopian Restaurant,Ethiopian,4.1,760,Average Cost,,4PM,Closed,,,,2149 Commercial Dr,"Orange-hued eatery decorated with vivid artwork serving traditional Ethiopian food, tea & coffee.",Harambe Ethiopian Restaurant,4.1,(760),Non-Veg
Lucy's Eastside Diner,Diner,4.2,"1,567",Not Expensive,,,,,,,2708 Main St,24-hour joint with a retro interior whipping up clever Canadian noshes & classic cocktails.,Lucy's Eastside Diner,4.2,(1567),Non-Veg
Fritz European Fry House,Fast Food,4.3,976,Not Expensive,,11AM,Closed,Dine-in,Takeaway,Delivery,718 Davie St,Quick-serve fry shop specializing in poutine & hot dogs that stays open late.,Fritz European Fry House,4.3,(976),Non-Veg
Pizzeria Farina,Pizza,4.5,430,Average Cost,,5PM,Closed,,,,915 Main St,"Bustling, minimalist eatery with a concise menu of thin-crust pizzas & takeaway.",Pizzeria Farina,4.5,(430),Non-Veg
Mangez Mangez Restaurant cafe,Restaurant,4.6,51,Not Expensive,,6AM,Closed,Dine-in,Takeaway,Delivery,1100 Melville St,"Relaxed cafe serving coffee, breakfast, sandwiches & baked goods in a contemporary setting.",Mangez Mangez Restaurant cafe,4.6,(51),Non-Veg
Charisma Cafe & Dessert House,Dessert,4.4,204,,"Vancouver, BC, Canada ú In International Village Mall",4PM,Closed,,,,,"Casual, contemporary locale offering gourmet cheesecake, bubble tea, espresso & lunch eats.",Charisma Cafe & Dessert House,4.4,(204),Non-Veg
Spicy 6 Fine Indian Cuisine,Indian,4.1,566,Average Cost,,11:30AM,Closed,Dine-in,Takeaway,No-contact delivery,"Vancouver, BC, Canada","Casual eatery featuring tandoori dishes, curries & other Indian standards, plus a lunch buffet.",Spicy 6 Fine Indian Cuisine,4.1,(566),Non-Veg
Afghan Horsemen Restaurant,Afghani,4.3,"1,159",Average Cost,,5PM,Closed,,,,"Vancouver, BC, Canada",Lively Afghani eatery with platters for sharing & vegetarian options plus belly dancers some nights.,Afghan Horsemen Restaurant,4.3,(1159),Non-Veg
The Keg Steakhouse + Bar - Alberni,Restaurant,4.4,"1,445",Expensive,,11:30AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada",Classic steak & seafood dishes are the mainstays at this stylish yet casual chain restaurant.,The Keg Steakhouse + Bar - Alberni,4.4,(1445),Non-Veg
Jambo Grill Tandoor & Paan House,Indian,4.2,923,Average Cost,,11AM,Closed,,,,"Vancouver, BC, Canada",Diverse menu of East African & Indian dishes in spacious quarters plus delivery service.,Jambo Grill Tandoor & Paan House,4.2,(923),Non-Veg
AK's Just Bite Fresh,Middle Eastern,4.6,17,,"Vancouver, BC, Canada ú Near the Vancouver Art Gallery",11AM,Closed,,,,,,AK's Just Bite Fresh,4.6,(17),Non-Veg
The Boathouse Restaurant,Restaurant,4.0,"1,214",Expensive,,12PM,Closed,Dine-in,Curbside pickup,Delivery,"Vancouver, BC, Canada ú In Kitsilano Beach Park","Waterfront option for local, sustainable seafood & premium steaks plus wines from British Columbia.",The Boathouse Restaurant,4.0,(1214),Non-Veg
Hydra Estiatorio Mediterranean Restaurant,Restaurant,4.3,84,,"Vancouver, BC, Canada",8AM,Closed,,,,,Chic downtown Mediterranean restaurant & a 40-foot cocktail bar hung with fish chandeliers.,Hydra Estiatorio Mediterranean Restaurant,4.3,(84),Non-Veg
Straight Outta Brooklyn NYC Pizzeria,Pizza,4.5,887,Not Expensive,,11AM,Closed,,,,"Vancouver, BC, Canada",,Straight Outta Brooklyn NYC Pizzeria,4.5,(887),Non-Veg
Chutney Villa South Indian Cuisine,Indian,4.0,452,Average Cost,,11:30AM,Closed,,,,"Vancouver, BC, Canada",Laid-back eatery offering a large menu of South Indian classics including vegetarian options.,Chutney Villa South Indian Cuisine,4.0,(452),Non-Veg
Campagnolo,Italian,4.1,496,Average Cost,,11:30AM,Closed,,,,"Vancouver, BC, Canada","Northern Italian menu, with pizza & housemade salumi, served under exposed bulbs.",Campagnolo,4.1,(496),Non-Veg
C|PRIME Modern Italian Steak and Wine,Italian,4.2,145,,"Vancouver, BC, Canada ú In Century Plaza Hotel Vancouver",,,,,,,Italian steakhouse in the Century Plaza Hotel serving refined fare & wines in posh modern surrounds.,C|PRIME Modern Italian Steak and Wine,4.2,(145),Non-Veg
La Taqueria Pinche Taco Shop,Mexican,4.3,"1,170",Average Cost,,11:30AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada",,La Taqueria Pinche Taco Shop,4.3,(1170),Non-Veg
Las Margaritas,Takeout restaurant,4.2,"1,825",Average Cost,,11:30AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada","Cantina with hearty portions of Northern Mexican fare, plus a large tequila selection & patio.",Las Margaritas,4.2,(1825),Non-Veg
Guu Original Thurlow,Izakaya,4.4,"1,177",Average Cost,,11:30AM,Closed,,,,"Vancouver, BC, Canada",Traditional Japanese-style pub featuring inventive small plates & sake in a boisterous atmosphere.,Guu Original Thurlow,4.4,(1177),Non-Veg
Yui Japanese Bistro,Japanese,4.4,220,Average Cost,,11AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada",Down-to-earth option for traditional Japanese mains & sushi rolls in casual surroundings.,Yui Japanese Bistro,4.4,(220),Non-Veg
Viet Sub Vietnamese Cuisine,Takeout restaurant,4.4,360,Not Expensive,,10AM,Closed,,,,"Vancouver, BC, Canada","Snug, simple counter serve offering Vietnamese subs, beef noodle soups & rice dishes.",Viet Sub Vietnamese Cuisine,4.4,(360),Non-Veg
Copper Chimney Restaurant - Indian Grill & Bar,Indian,3.8,349,Expensive,,6:30AM,Closed,,,,"Vancouver, BC, Canada ú In the Hotel Le Soleil","Indian dishes with Pacific NW flair in a warm, art deco-inspired space with bar & soaring ceilings.",Copper Chimney Restaurant - Indian Grill & Bar,3.8,(349),Non-Veg
Earls Kitchen + Bar,Restaurant,4.2,"1,912",Average Cost,,11AM,Closed,Dine-in,Curbside pickup,Delivery,"Vancouver, BC, Canada","Sleek, upscale chain serving gourmet burgers, global comfort food, cocktails, wines & beers.",Earls Kitchen + Bar,4.2,(1912),Non-Veg
Sophie's Cosmic Cafe,Diner,4.2,"1,217",Average Cost,,8AM,Closed,,,,"Vancouver, BC, Canada","Retro diner with kitschy decor draws crowds with breakfast, brunch & a variety of hearty dishes.",Sophie's Cosmic Cafe,4.2,(1217),Non-Veg
Joyeaux Caf‚ & Restaurant,Vietnamese,4.2,570,Not Expensive,,7:30AM,Closed,Dine-in,Takeaway,Delivery,551 Howe St,"Snug Vietnamese eatery with communal seating plating straightforward eats, from pho to sandwiches.",Joyeaux Caf‚ & Restaurant,4.2,(570),Non-Veg
The Keg Steakhouse + Bar - Yaletown,Restaurant,4.4,"1,620",Expensive,,4PM,Closed,Dine-in,Takeaway,Delivery,1011 Mainland St,Classic steak & seafood dishes are the mainstays at this stylish yet casual chain restaurant.,The Keg Steakhouse + Bar - Yaletown,4.4,(1620),Non-Veg
Sopra Sotto Pizzeria,Italian,4.3,592,Average Cost,,4PM,Closed,Dine-in,Takeaway,Delivery,1510 Commercial Dr,,Sopra Sotto Pizzeria,4.3,(592),Non-Veg
Milssam Tacorea,Restaurant,4.4,196,,1130 Mainland St,11:30AM,Closed,,,,,,Milssam Tacorea,4.4,(196),Non-Veg
Kobe Japanese Steakhouse,Japanese steakhouse,4.3,994,Too Expensive,,5PM,Closed,,,,1042 Alberni St,Lively Japanese joint specializing in classic hibachi surf 'n' turf prepared by performing chefs.,Kobe Japanese Steakhouse,4.3,(994),Non-Veg
Brazilian Roots Truck,Restaurant,4.8,18,,698 Seymour St,11:15AM,Closed,,,,,,Brazilian Roots Truck,4.8,(18),Non-Veg
The Flying Pig Olympic Village,Canadian,3.9,740,Average Cost,,3PM,Closed,,,,127 W 2nd Ave,"Canadian standards often come with a twist at this bistro in an hip, bustling space.",The Flying Pig Olympic Village,3.9,(740),Non-Veg
West Oak,Restaurant,4.1,655,Average Cost,,11:30AM,Closed,Dine-in,Takeaway,Delivery,1035 Mainland St,"Trendy eatery offering cuisine made with locally sourced ingredients, plus a patio & full bar.",West Oak,4.1,(655),Non-Veg
The Parlour,Takeout restaurant,4.2,"1,311",Average Cost,,3PM,Closed,Dine-in,Takeaway,Delivery,1011 Hamilton St,"Casually stylish setup for craft cocktails & beers plus pizza, small plates & sandwiches.",The Parlour,4.2,(1311),Non-Veg
Green Lettuce,South Asian,4.2,902,Average Cost,,5PM,Closed,,,,1949 Kingsway,,Green Lettuce,4.2,(902),Non-Veg
Edible Canada,Canadian,4.2,"1,003",Average Cost,,,Temporarily closed,,,,1596 Johnston St,"Lively bistro serving Canadian cuisine using local products, plus a patio & gourmet retail store.",Edible Canada,4.2,(1003),Non-Veg
JINYA Ramen Bar,Restaurant,4.3,"2,629",Average Cost,,11AM,Closed,,,,541 Robson St,,JINYA Ramen Bar,4.3,(2629),Non-Veg
Nero waffles,Dessert,4.5,"1,508",,1002 Seymour St,9AM,Closed,,,,,"Buzzy spot with a patio offering Belgian waffles topped with sweet & savory toppings, plus espresso.",Nero waffles,4.5,(1508),Non-Veg
Cavo Bar+Kitchen,Grill,4.2,734,Average Cost,,9AM,Closed,,,,911 Granville St,"Bustling, rustic-chic hangout offering creative global plates & pizza, plus cocktails, beer & wine.",Cavo Bar+Kitchen,4.2,(734),Non-Veg
per se Social Corner,Spanish,4.2,"1,251",Average Cost,,11:30AM,Closed,,,,891 Homer St,A mix of European & Central American dishes are offered with cocktails in high-style modern digs.,per se Social Corner,4.2,(1251),Non-Veg
Paramount Fine Foods,Middle Eastern,4.3,"1,768",Average Cost,,1PM,Closed,Dine-in,Curbside pickup,No-contact delivery,560 Robson St,"Local Middle Eastern chain featuring salads, saj wraps, pizza & more in narrow, brick-lined space.",Paramount Fine Foods,4.3,(1768),Non-Veg
SMAK Healthy Fast Food,Health Food,4.4,33,,840 Howe St ú In Robson Court,6:30AM,Closed,Dine-in,Takeaway,Delivery,,Wholesome snack bar serving locally sourced & gluten-free light bites in biodegradable packaging.,SMAK Healthy Fast Food,4.4,(33),Non-Veg
Le Petit Belge,Breakfast,4.3,806,Average Cost,,8AM,Closed,,,,340 Robson St,Cozy spot for sweet & savory Belgian waffles with other classic breakfast fare & espresso drinks.,Le Petit Belge,4.3,(806),Non-Veg
alphabet city,Restaurant,4.4,53,,4242 Main St,3PM,Closed,Dine-in,Takeaway,Delivery,,,alphabet city,4.4,(53),Non-Veg
Tacofino Yaletown,Mexican,4.3,"1,059",Average Cost,,11:30AM,Closed,,,,1025 Mainland St,"Casual, contemporary restaurant with West Coast takes on classic Mexican food & a full bar.",Tacofino Yaletown,4.3,(1059),Non-Veg
Tableau Bar Bistro,Bistro,4.4,576,Expensive,,,Temporarily closed,,,,1181 Melville St,"Sleek restaurant with a patio, serving hearty French bistro classics using West Coast ingredients.",Tableau Bar Bistro,4.4,(576),Non-Veg
Pizza Garden,Pizza,4.4,591,Not Expensive,,11AM,Closed,Dine-in,Takeaway,Delivery,675 Smithe St,,Pizza Garden,4.4,(591),Non-Veg
Baghdad Cafe,Middle Eastern,4.3,570,Not Expensive,,11AM,Closed,Dine-in,Takeaway,Delivery,548 Seymour St,"Counter-serve cafe featuring a menu of halal Middle Eastern fare in a narrow, contemporary space.",Baghdad Cafe,4.3,(570),Non-Veg
Old Bird,Chinese,4.2,52,,,5PM,Closed,Dine-in,Takeaway,Delivery,,,Old Bird,4.2,(52),Non-Veg
Meat & Bread,Sandwich,4.6,"1,396",Not Expensive,,11AM,Closed,,,,370 Cambie St,"Stylish spot for meat-centric sandwiches, with a tiny menu & chic industrial setting.",Meat & Bread,4.6,(1396),Non-Veg
Cibo Trattoria,Italian,3.8,127,Expensive,,5PM,Closed,,,,900 Seymour St,"Stylish spot in a restored heritage hotel, with rustic Italian fare & premium wines.",Cibo Trattoria,3.8,(127),Non-Veg
White Spot Dunsmuir,Family-friendly,4.2,"1,231",Average Cost,,9AM,Closed,Dine-in,Takeaway,Delivery,405 Dunsmuir St,,White Spot Dunsmuir,4.2,(1231),Non-Veg
Caf‚ One,American,4.0,164,,1000 Burrard St,6:30AM,Closed,Dine-in,Takeaway,Delivery,,Smart Canadian restaurant serving breakfast & West Coast cuisine in the lobby of the Sheraton.,Caf‚ One,4.0,(164),Non-Veg
Holts Caf‚ Vancouver,Canadian,4.2,60,,"Holt Renfrew Vancouver, 737 Dunsmuir St",11AM,Closed,Dine-in,Takeaway,Delivery,,"Chic department store eatery serving salads, sandwiches & bistro staples, plus wine & cocktails.",Holts Caf‚ Vancouver,4.2,(60),Non-Veg
Tap & Barrel ? Olympic Village,Restaurant,4.0,"2,117",Average Cost,,11AM,Closed,Dine-in,Takeaway,No-contact delivery,75 Athletes Way,"Contemporary pub offering Pacific Northwest fare, craft brews & a sprawling patio with scenic views.",Tap & Barrel ? Olympic Village,4.0,(2117),Non-Veg
Jolly's Indian Bistro,Indian,4.1,161,Average Cost,,5PM,Closed,,,,2928 W 4th Ave,Relaxed kitchen serving classic Indian fare such as chicken masala & lamb saag amongst warm decor.,Jolly's Indian Bistro,4.1,(161),Non-Veg
Eh! Restaurant,Canadian,4.1,20,,1050 Alberni St #2nd,,Temporarily closed,,,,,"Casual eatery in a 2nd-floor space offering Canadian & global cafe bites, plus beer & cocktails.",Eh! Restaurant,4.1,(20),Non-Veg
The Edge Social Grille & Lounge,Grill,4.0,106,Average Cost,,,,,,,1100 Granville St,"Clever regional plates in airy surroundings, with a chic, popular cocktail & wine bar.",The Edge Social Grille & Lounge,4.0,(106),Non-Veg
Cafe Il Nido,Italian,4.1,128,Average Cost,,11AM,Closed,Dine-in,Takeaway,,780 Thurlow St,Traditional Italian fare with modern flair served in a warm dining room or romantic courtyard patio.,Cafe Il Nido,4.1,(128),Non-Veg
Dynasty Seafood Restaurant,Chinese,4.1,"1,065",Expensive,,10AM,Closed,Dine-in,Takeaway,Delivery,108-777 W Broadway,Intricate dim sum & elevated Chinese dishes served in an upscale setting with live-seafood tanks.,Dynasty Seafood Restaurant,4.1,(1065),Non-Veg
Moxie's Grill & Bar,Grill,3.9,429,Average Cost,,11AM,Closed,Dine-in,Curbside pickup,No-contact delivery,1160 Davie St,,Moxie's Grill & Bar,3.9,(429),Non-Veg
Pacifico Pizzeria & Ristorante,Pizza,4.2,750,Average Cost,,12PM,Closed,,,,970 Smithe St,"Pizzas galore, pastas & other Italian standards served in a relaxed room with soaring ceilings.",Pacifico Pizzeria & Ristorante,4.2,(750),Non-Veg
Zakkushi Dining on Main,Izakaya,4.2,609,Average Cost,,5:30PM,Closed,Dine-in,Takeaway,No-contact delivery,4075 Main St,,Zakkushi Dining on Main,4.2,(609),Non-Veg
Tokyo Joe's Sushi in Vancouver,Japanese,4.3,53,,955 Helmcken St,11AM,Closed,,,,,,Tokyo Joe's Sushi in Vancouver,4.3,(53),Non-Veg
Chipotle Mexican Grill,Mexican,4.1,"2,195",Not Expensive,,10:45AM,Closed,,,,818 Howe St,"Fast-food chain offering Mexican fare, including design-your-own burritos, tacos & bowls.",Chipotle Mexican Grill,4.1,(2195),Non-Veg
Best Neighbours Restaurant & Pizza House/ Johnny?s on Oak,Restaurant,4.2,188,Average Cost,,11:30AM,Closed,,,,"Vancouver, BC, Canada","Local choice for down-home dining, ranging from easygoing Greek classics to Italian-Canadian eats.",Best Neighbours Restaurant & Pizza House/ Johnny?s on Oak,4.2,(188),Non-Veg
Kamei Royale Japanese Restaurant,Japanese,4.2,512,Average Cost,,11:30AM,Closed,,,,"Vancouver, BC, Canada","Modern, spacious sushi bar & karaoke lounge featuring a traditional menu & happy-hour deals.",Kamei Royale Japanese Restaurant,4.2,(512),Non-Veg
Five Guys,Hamburger,4.3,"2,699",Average Cost,,11AM,Closed,,,,"Vancouver, BC, Canada","Fast-food chain with made-to-order burgers, fries & hot dogs, plus free peanuts while you wait.",Five Guys,4.3,(2699),Non-Veg
JOEY Bentall One,Restaurant,4.3,"1,043",Average Cost,,11AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada","Part of a chain, this swanky spot offers a gourmet international menu plus drinks & people-watching.",JOEY Bentall One,4.3,(1043),Non-Veg
Memphis Blues BBQ House,Barbecue,4.0,664,Average Cost,,11AM,Closed,,,,"Vancouver, BC, Canada",,Memphis Blues BBQ House,4.0,(664),Non-Veg
Eat Chicken Wraps,Chicken,4.5,58,,"Vancouver, BC, Canada",11:30AM,Closed,,,,,Local food truck serving up a range of creative fried-chicken wraps & rice boxes at the counter.,Eat Chicken Wraps,4.5,(58),Non-Veg
Zaatar w Zeit,Restaurant,4.5,188,,"Vancouver, BC, Canada",10AM,Closed,Dine-in,Takeaway,Delivery,,,Zaatar w Zeit,4.5,(188),Non-Veg
